month,dow,hour,num_trips,trip_dur,age
3,7,21,394,16.95,32.77
3,7,22,316,25.41,32.38
3,7,23,226,15.18,32.85
4,1,0,320,40.3,32.91
4,1,1,341,24.85,34.22
4,1,2,228,38.19,35.43
4,1,3,79,44.03,39.41
4,1,4,50,58.18,37.86
4,1,5,39,24.02,39
4,1,6,64,20.99,33.58
4,1,7,169,15.69,37.86
4,1,8,404,20.96,36.14
4,1,9,776,19.76,34.78
4,1,10,1178,21.65,35.22
4,1,11,1484,38.2,36.02
4,1,12,1704,28.63,36.66
4,1,13,1927,101.77,36.32
4,1,14,1849,58.35,36.83
4,1,15,2059,29.58,36.4
4,1,16,2171,32.43,36.54
4,1,17,1942,36.54,36.08
4,1,18,1711,25.37,35.23
4,1,19,1143,28.33,34.54
4,1,20,826,45.63,32.83
4,1,21,501,38.29,32.95
4,1,22,447,40.01,32.6
4,1,23,318,20.39,31.9
4,2,0,147,53.05,32.22
4,2,1,100,16.06,32.57
4,2,2,52,20.5,35.25
4,2,3,27,30.26,39.19
4,2,4,44,14.85,32.07
4,2,5,111,11.19,31.92
4,2,6,407,12.64,37.63
4,2,7,1005,14.67,36.87
4,2,8,2347,24.79,35.78
4,2,9,1812,27.48,35.07
4,2,10,1001,22.26,33.87
4,2,11,967,16.38,35.16
4,2,12,1170,42.25,35.29
4,2,13,1146,46.3,36.03
4,2,14,1048,28.53,36.2
4,2,15,960,27.09,37.35
4,2,16,1597,22.32,37.61
4,2,17,2876,17.18,36.59
4,2,18,2274,23.38,34.23
4,2,19,1622,19.14,33.33
4,2,20,974,17.83,33.35
4,2,21,668,15.71,33.41
4,2,22,434,14.16,34.43
4,2,23,232,33.08,32.53
4,3,0,107,24.3,33.66
4,3,1,55,12.17,36.64
4,3,2,33,20.78,32.94
4,3,3,30,15.67,36.97
4,3,4,17,12.11,34.76
4,3,5,129,36.47,34.4
4,3,6,432,19.06,36.56
4,3,7,1295,12.91,37.2
4,3,8,2914,15.87,35.34
4,3,9,2055,17.83,34.06
4,3,10,1054,57.32,34.48
4,3,11,954,33.65,35.89
4,3,12,1191,25.49,35.66
4,3,13,1145,81.94,36.18
4,3,14,1155,49.6,36.54
4,3,15,1336,24,36.55
4,3,16,2285,16.02,37.85
4,3,17,4076,18.26,36.81
4,3,18,3174,16.3,34.34
4,3,19,1931,20.39,33.09
4,3,20,1237,29.27,31.66
4,3,21,901,18.8,31.93
4,3,22,625,22.36,33.19
4,3,23,297,13.88,32.94
4,4,0,63,63.1,32.71
4,4,1,47,15.9,32.94
4,4,2,19,17.84,36.37
4,4,3,16,16.99,47.25
4,4,4,11,17.94,40.09
4,4,5,102,9.54,32.86
4,4,6,370,33.95,36.85
4,4,7,1063,13.84,36.75
4,4,8,2533,14.51,35.81
4,4,9,1862,13.47,34.6
4,4,10,927,13,34.53
4,4,11,884,47.95,35.38
4,4,12,1008,16.87,36.02
4,4,13,1069,22.74,36.43
4,4,14,1075,21.61,36.74
4,4,15,1215,25.08,36.81
4,4,16,2048,39.7,37.97
4,4,17,3518,15.53,36.54
4,4,18,2879,16.98,34.58
4,4,19,1934,26.86,33.33
4,4,20,1054,14.62,32.08
4,4,21,773,24.89,32.27
4,4,22,465,17.09,32.98
4,4,23,283,13.22,31.96
4,5,0,134,14.9,32.82
4,5,1,80,33.92,34.61
4,5,2,43,19.13,39.19
4,5,3,23,15.77,32.43
4,5,4,16,9.74,28.62
4,5,5,108,9.71,34.16
4,5,6,422,63.84,37.84
4,5,7,1298,20.09,37.58
4,5,8,2781,17.89,35.64
4,5,9,1955,12.88,34.65
4,5,10,944,33.45,34.49
4,5,11,862,16.42,35.22
4,5,12,1056,16.75,36.52
4,5,13,1064,34.88,36.31
4,5,14,1086,26.56,36.24
4,5,15,1226,18.91,37.24
4,5,16,2013,30.04,37.47
4,5,17,3111,18.25,36.62
4,5,18,2559,15.57,34.83
4,5,19,1687,16.2,32.99
4,5,20,1076,30.43,32.84
4,5,21,802,36.23,32.92
4,5,22,651,17.26,33.06
4,5,23,379,18.26,32.67
4,6,0,189,13.65,31.08
4,6,1,128,26.9,32.43
4,6,2,65,18.25,34.97
4,6,3,48,14.41,40.9
4,6,4,40,23.39,37.55
4,6,5,88,15.47,34.08
4,6,6,345,16.57,36.93
4,6,7,989,11.86,36.9
4,6,8,2104,15.77,35.28
4,6,9,1592,13.83,34.2
4,6,10,876,14.81,34.48
4,6,11,900,18.29,35.3
4,6,12,1111,15.57,36
4,6,13,1168,29.15,35.59
4,6,14,1238,17.77,35.7
4,6,15,1321,18.22,36.55
4,6,16,1826,18.01,37.16
4,6,17,2462,19.65,36
4,6,18,1885,16.15,34.13
4,6,19,1261,53.05,33.27
4,6,20,662,22.29,32.77
4,6,21,463,18.36,32.99
4,6,22,398,17.55,33.39
4,6,23,261,81.13,32.15
4,7,0,155,22.24,34.55
4,7,1,99,37.51,32.25
4,7,2,75,18.38,33.13
4,7,3,36,32.1,34.56
4,7,4,21,25.07,37.9
4,7,5,23,16.62,36.13
4,7,6,57,11.96,34.75
4,7,7,157,11.22,31.94
4,7,8,350,18.15,33.66
4,7,9,633,13.79,34.43
4,7,10,769,26.83,33.02
4,7,11,1126,28.39,33.97
4,7,12,1449,19.46,34.42
4,7,13,1916,54.53,35.51
4,7,14,2042,28.75,35.83
4,7,15,2189,32.87,36.48
4,7,16,2162,30.78,36.54
4,7,17,2299,33.5,37.09
4,7,18,1947,33.35,36.05
4,7,19,1465,32.45,34.69
4,7,20,945,22.51,34.88
4,7,21,626,22.02,34.02
4,7,22,549,21.73,34.28
4,7,23,421,28.6,33.84
5,1,0,397,50.15,34.04
5,1,1,289,16.45,34.02
5,1,2,217,18.44,33.81
5,1,3,76,57.06,39.41
5,1,4,44,857.7,33.45
5,1,5,56,33.01,42.32
5,1,6,119,17.53,37
5,1,7,181,19.94,36.06
5,1,8,388,22.71,34.51
5,1,9,631,24.61,35.36
5,1,10,998,51.16,35.46
5,1,11,1124,29.83,35.82
5,1,12,1093,24.6,35.08
5,1,13,1349,49.76,35.4
5,1,14,1487,34.78,35.48
5,1,15,1545,43.81,36.54
5,1,16,1764,30.88,36.92
5,1,17,1970,27.35,36.19
5,1,18,1810,26.5,35.79
5,1,19,1512,30.52,34.7
5,1,20,1079,30.43,34.43
5,1,21,680,30.47,34.32
5,1,22,567,29.36,33.98
5,1,23,513,20.87,33.3
5,2,0,253,41.41,34.58
5,2,1,135,18.44,36.04
5,2,2,85,18.47,36.61
5,2,3,42,22.02,38.17
5,2,4,33,31.29,33.58
5,2,5,99,31.59,34.73
5,2,6,462,22.15,38.84
5,2,7,1211,20.41,37.14
5,2,8,2677,17.85,35.92
5,2,9,1869,35.2,35.33
5,2,10,1168,40.68,36.08
5,2,11,1323,28.12,36.99
5,2,12,1652,35.31,36.87
5,2,13,1613,37.93,36.45
5,2,14,1739,26.36,37.06
5,2,15,1999,30.97,38.09
5,2,16,2588,31.27,37.72
5,2,17,3616,18.82,36.35
5,2,18,2408,20.67,34.3
5,2,19,1960,19.23,33.73
5,2,20,1272,26.41,33.43
5,2,21,778,29.82,34.11
5,2,22,504,32.69,32.87
5,2,23,358,18.54,33.73
5,3,0,177,63.05,33.16
5,3,1,107,20.07,35.86
5,3,2,52,24.42,38.54
5,3,3,22,14.28,40.73
5,3,4,31,14.22,33.84
5,3,5,162,54.57,34.25
5,3,6,614,15.85,38.24
5,3,7,1671,18.81,37.26
5,3,8,3268,14.68,35.6
5,3,9,2055,21.39,34.72
5,3,10,994,21.32,35.57
5,3,11,976,22.21,35.09
5,3,12,1251,32.71,35.59
5,3,13,1002,22.65,35.79
5,3,14,1093,17.85,36.7
5,3,15,1175,24.25,37.24
5,3,16,2110,27.62,37.41
5,3,17,3276,16.6,36.32
5,3,18,2691,15.77,34.2
5,3,19,1561,16.73,32.93
5,3,20,933,42.19,33.26
5,3,21,672,26.77,32.51
5,3,22,449,14.62,33.06
5,3,23,301,16.9,31.76
5,4,0,182,15.63,32
5,4,1,118,24.01,34.47
5,4,2,77,12.77,34.29
5,4,3,30,39.74,39.03
5,4,4,24,13.45,36.42
5,4,5,206,9.38,34.27
5,4,6,800,10.41,37.59
5,4,7,2239,14.03,36.77
5,4,8,4340,17,35.57
5,4,9,2815,14.72,34.88
5,4,10,1486,20.4,35.2
5,4,11,1392,17.19,35.75
5,4,12,1751,24.26,35.82
5,4,13,1641,24.36,37.03
5,4,14,1570,41.55,36.94
5,4,15,1923,18.66,37.27
5,4,16,2882,16.2,38.31
5,4,17,5219,17.24,36.56
5,4,18,4287,22.2,34.62
5,4,19,3075,16.91,33.7
5,4,20,1969,16.76,33.38
5,4,21,1208,24.25,32.64
5,4,22,851,16.66,33.53
5,4,23,554,17.06,32.82
5,5,0,234,16.92,31.85
5,5,1,136,49.27,35.72
5,5,2,77,18.08,37.45
5,5,3,38,26.46,40.95
5,5,4,23,108.45,36.7
5,5,5,215,10.66,34.09
5,5,6,755,12.08,38.24
5,5,7,2207,14.35,36.99
5,5,8,4222,22.75,35.31
5,5,9,2914,16.81,34.98
5,5,10,1484,34.51,35.17
5,5,11,1425,38.23,35.93
5,5,12,1665,17.18,35.4
5,5,13,1723,34.03,36.6
5,5,14,1568,27.95,36.34
5,5,15,1777,38.12,37.21
5,5,16,3008,16.74,37.47
5,5,17,4977,15.82,36.01
5,5,18,3915,21.38,34.42
5,5,19,2722,20.46,33.47
5,5,20,1791,17.59,33.21
5,5,21,1230,18.35,32.65
